;Meses;Autoridad_Portuaria;Graneles Líquidos t;Graneles Sólidos t;Mercancía General t;Mercancia General Contenedores t;Pesca t;Avituallamiento t;Avituallamiento De Combustibles Líquidos t;Tráfico Interior t;Mercancías En Tránsito t;Mercancías En Tránsito En Contenedores t;Tráfico Ro-Ro t;UTIS Ro-Ro;TEUS Contenedores;TEUS Contenedores En Tránsito;TEUS Contenedores Entrada-Salida Nacional;TEUS Contenedores Entrada-Salida Exterior;Unidades Buques Mercantes;G.T. Buques Mercantes;Unidades Buques De Crucero;Pasajeros En Régimen De Transporte Y De Crucero;Pasajeros En Régimen De Transporte;Pasajeros De Crucero;Automóviles En Régimen De Pasaje;Automóviles En Régimen De Mercancía
0;Enero_2024;A Coruña;719906;406133;29789;0;1148.912;2903;2245;0;41024;0;0;0;0.0;0.0;0.0;0.0;81;1556239;4;9704;0;9704;0;0
1;Enero_2024;Alicante;9007;109123;86149;77281;0.0;881;55;0;297;297;6210;186;10654.75;38.0;8703.5;1913.25;54;548180;4;8151;5990;2161;1580;51
2;Enero_2024;Almería;18511;256126;109347;15607;228.505;6088;2622;0;0;0;63344;2493;1116.75;0.0;457.75;659.0;134;2131887;0;40825;40825;0;11445;239
3;Enero_2024;Avilés;61421;234074;84260;0;446.146;2950;1050;0;0;0;0;0;0.0;0.0;0.0;0.0;56;402073;0;0;0;0;0;0
4;Enero_2024;Bahía de Algeciras;2793935;42904;5498543;4436836;87.53699999999999;347997;330817;325168;5388705;3990822;1053639;40107;372081.0;314846.0;0.0;57235.0;2510;48344664;0;362082;362082;0;81135;327
5;Enero_2024;Bahía de Cádiz;18934;206223;173076;119797;716.4230000000001;7914;1949;0;34356;15766;68593;2039;16251.75;1569.0;12192.75;2490.0;135;2451804;13;33168;1817;31351;1102;1224
6;Enero_2024;Baleares;102646;22156;982074;21043;79.737;6597;155;105;704;0;970723;41066;6047.0;0.0;6047.0;0.0;3052;17177306;16;300476;244370;56106;54605;7841
7;Enero_2024;Barcelona;766073;324206;3843295;3011767;150.208;112974;100189;0;1989352;1705002;841346;28411;295527.75;142352.0;69397.25;83778.5;642;25184951;26;179890;68854;111036;22448;49721
8;Enero_2024;Bilbao;2134486;280264;569573;400193;0.0;9333;4853;0;4973;4973;46098;2922;36914.0;394.75;1259.5;35259.75;197;4149021;0;13;13;0;0;2377
9;Enero_2024;Cartagena;2137657;878956;57119;39115;25.364;12108;791;0;74172;0;0;0;2791.0;0.0;586.0;2205.0;158;2985661;5;0;0;0;0;0
