,Autoridad_Portuaria,Graneles Líquidos t,Graneles Sólidos t,Mercancía General t,Mercancia General Contenedores t,Mercancías En Tránsito t,Tráfico Ro-Ro t,TEUS Contenedores,Total_pasajeros,Anios,Mes,fecha,Total_buques,Total_automoviles,Total_toneladas
61,6,194554,68996,180997,132114,251106,49001,17302.0,20502,2022,3,2022-03-01,1884,1158,876768
62,7,65978,34082,1071371,31118,450,1056140,8393.0,282339,2022,3,2022-03-01,53891,56701,2259139
63,8,1488794,527472,4474862,3461354,2828676,1034998,319486.0,102565,2022,3,2022-03-01,38778,56590,13816156
64,9,1782361,208410,754975,410177,2423,85317,38543.75,3194,2022,3,2022-03-01,3434,12584,3243663
65,10,2211468,510606,77436,49427,0,0,4061.5,11391,2022,3,2022-03-01,190,0,2848937
66,11,868966,809362,101681,91496,894,24310,7430.0,0,2022,3,2022-03-01,113,50,1896709
67,12,34661,0,44213,6042,0,43693,448.0,90695,2022,3,2022-03-01,3149,18010,128609
68,13,224436,679261,52606,17733,1979,0,1729.5,0,2022,3,2022-03-01,84,0,976015
69,14,78256,1327027,89215,36275,8096,0,2811.0,0,2022,3,2022-03-01,91,0,1538869
70,15,2292832,240107,105522,40542,329491,52260,6023.5,4687,2022,3,2022-03-01,2772,3226,3060754
71,16,720588,45566,1449721,1045216,1058954,407308,90533.0,211434,2022,3,2022-03-01,31666,58759,4727353
72,17,9724,105284,313784,282070,266464,33312,26383.25,26183,2022,3,2022-03-01,1962,13431,1010638
73,18,0,142745,110030,40486,145,0,3427.25,0,2022,3,2022-03-01,40,12,293406
74,19,4463,1502,35454,3674,0,35454,531.75,22309,2022,3,2022-03-01,2306,3840,80547
75,20,68607,53942,15290,0,6054,4138,0.0,2458,2022,3,2022-03-01,234,810,148031
76,21,0,77793,228611,0,762,47407,0.0,0,2022,3,2022-03-01,394,19870,354573
77,22,351662,41691,636716,303110,51881,352226,36498.0,472079,2022,3,2022-03-01,28288,126349,1737286
78,23,24597,234080,212091,24129,1593,160476,2128.25,13006,2022,3,2022-03-01,4403,30577,656966
79,24,39319,120938,123038,75988,0,8078,11329.75,1668,2022,3,2022-03-01,471,468,367361
80,25,1303749,304744,316767,160194,188682,58433,14058.0,65,2022,3,2022-03-01,1721,14836,2332569
81,26,457711,189878,5367218,4140074,2292459,1023560,353217.0,52221,2022,3,2022-03-01,38369,63496,13470900
82,27,510,18001,343356,216978,27464,53017,18571.0,3984,2022,3,2022-03-01,459,26076,659326
83,28,19619,20303,82173,22701,11999,0,2975.75,0,2022,3,2022-03-01,34,51,156795
84,1,716713,237798,54009,0,22678,0,0.0,25581,2022,4,2022-04-01,104,0,1031198
85,2,2100,171913,133752,121382,2655,5391,18290.75,18127,2022,4,2022-04-01,263,2762,437193
86,3,6993,278324,132134,46287,0,74497,2448.25,14380,2022,4,2022-04-01,4083,4285,538235
87,4,50614,289175,79435,0,0,0,0.0,0,2022,4,2022-04-01,67,0,419224
88,5,2263095,51429,5980159,4591574,5240065,1377732,385372.0,171150,2022,4,2022-04-01,45507,30946,19504054
89,6,166103,104873,180629,126938,213969,71647,16313.25,33240,2022,4,2022-04-01,2565,1664,864159
90,7,82619,28763,1171842,29770,1471,1159727,7911.0,540426,2022,4,2022-04-01,59716,100624,2474192
91,8,1172927,312945,4300236,3380549,2243082,904860,301119.5,234929,2022,4,2022-04-01,34396,72323,12314599
92,9,1807674,288702,619768,362463,2976,86568,31889.0,25534,2022,4,2022-04-01,3429,9432,3168151
93,10,2374449,594209,73574,51417,0,0,3720.0,17305,2022,4,2022-04-01,228,0,3093649
94,11,949118,840704,167478,153549,6377,46744,11027.0,633,2022,4,2022-04-01,143,201,2163970
95,12,84722,0,46840,5805,0,46645,470.0,103412,2022,4,2022-04-01,3086,22579,184012
96,13,433566,692953,70919,17297,2232,0,1512.75,1119,2022,4,2022-04-01,88,0,1216967
97,14,101074,1729078,120241,61182,366665,0,4484.0,2996,2022,4,2022-04-01,119,0,2378240
98,15,2225244,368346,128152,56078,186956,54890,7811.75,5917,2022,4,2022-04-01,3090,4208,3019666
99,16,638889,29912,1389806,1014841,896623,375465,99259.0,252813,2022,4,2022-04-01,28655,85581,4345536
100,17,16204,121641,498640,462763,439419,36556,41696.5,52204,2022,4,2022-04-01,2225,25701,1575223
101,18,2,39170,91190,38917,200,0,2967.0,0,2022,4,2022-04-01,39,12,169479
102,19,6203,0,37880,3227,0,37880,441.25,27121,2022,4,2022-04-01,2503,6283,85190
103,20,91589,36632,6120,0,6062,3295,0.0,3532,2022,4,2022-04-01,202,679,143698
104,21,0,62975,211731,0,1837,45736,0.0,0,2022,4,2022-04-01,372,16234,322279
105,22,250699,38338,597433,295963,49083,305300,38032.0,544700,2022,4,2022-04-01,24412,155752,1536816
106,23,12511,186755,241502,29754,3810,186585,2428.5,19948,2022,4,2022-04-01,4909,37768,660917
107,24,38701,124812,113834,79956,0,6267,10449.25,2979,2022,4,2022-04-01,428,189,363570
108,25,1706459,984534,262411,135858,583096,52787,12230.5,952,2022,4,2022-04-01,1657,14988,3725145
109,26,484313,233659,6645597,5402133,3112116,1071280,484044.0,94532,2022,4,2022-04-01,40566,67381,16949098
110,27,6625,30697,322292,215799,13661,62685,17052.0,21840,2022,4,2022-04-01,886,25765,651759
111,28,39993,24865,72982,22613,3119,0,2335.5,0,2022,4,2022-04-01,33,6,163572
112,1,666365,178256,177873,0,25180,0,0.0,17441,2022,5,2022-05-01,115,0,1047674
113,2,0,158394,139796,124759,0,15032,18794.75,12273,2022,5,2022-05-01,712,2086,437981
114,3,10360,361717,158136,45016,5591,89007,2554.5,21750,2022,5,2022-05-01,4693,5728,669827
115,4,49094,322597,81828,0,0,44,0.0,166,2022,5,2022-05-01,67,0,453563
116,5,2586727,61127,6426476,4935014,5520118,1481845,408743.0,251115,2022,5,2022-05-01,49151,51197,21011307
117,6,100103,115196,207619,156704,131487,66826,20260.75,34320,2022,5,2022-05-01,2365,2476,777935
118,7,186133,36424,1333301,36503,1279,1329055,9617.0,743787,2022,5,2022-05-01,68899,107507,2922695
119,8,1281589,505174,4678231,3625521,2417518,1086764,333401.5,303184,2022,5,2022-05-01,39847,78794,13594797
120,9,1674719,341091,841819,550299,1850,102727,51758.75,23055,2022,5,2022-05-01,4092,25359,3512505
121,10,2575616,548858,96467,59004,0,0,3886.5,24632,2022,5,2022-05-01,222,0,3279945
122,11,832116,898252,177762,161309,3464,54579,11524.0,0,2022,5,2022-05-01,158,238,2127482
123,12,67384,0,48810,6334,0,48095,485.0,111141,2022,5,2022-05-01,3345,24356,170623
124,13,249474,620889,91968,38072,937,1417,3496.5,1926,2022,5,2022-05-01,104,1,1002757
125,14,49534,1435495,103743,56297,92131,0,4342.0,1415,2022,5,2022-05-01,109,0,1737200
126,15,2183438,498990,131691,55015,297687,52047,7311.5,5575,2022,5,2022-05-01,2819,4186,3218868
127,16,798546,43816,1541633,1149117,1177944,388374,109447.0,159185,2022,5,2022-05-01,29546,92303,5099430
128,17,6716,133480,466019,425821,384793,40819,37996.25,50657,2022,5,2022-05-01,2603,8835,1457648
129,18,0,71657,119571,56411,0,0,4226.0,0,2022,5,2022-05-01,43,4,247639
130,19,4664,3304,43934,3559,0,43934,485.5,25994,2022,5,2022-05-01,3124,4863,99395
131,20,171757,82785,7200,0,6043,2855,0.0,2641,2022,5,2022-05-01,184,529,270640
132,21,0,104808,204954,0,1837,59414,0.0,0,2022,5,2022-05-01,434,24676,371013
133,22,344820,37475,648315,331151,48232,330580,42796.0,426326,2022,5,2022-05-01,26466,145491,1740573
134,23,45629,302653,263840,36130,17862,226983,3095.75,26348,2022,5,2022-05-01,6160,43819,893097
135,24,23188,161120,156002,83453,0,8427,11620.25,3607,2022,5,2022-05-01,578,289,432190
136,25,1602562,799895,293274,109539,347730,46016,11553.0,5848,2022,5,2022-05-01,1244,15570,3199016
137,26,524614,221021,7007081,5509529,2850398,1287754,482869.0,94691,2022,5,2022-05-01,49170,60498,17400397
138,27,0,29541,448715,274720,31051,69169,22727.0,13934,2022,5,2022-05-01,1071,29581,853196
139,28,13719,15780,64413,29833,32,0,3250.25,383,2022,5,2022-05-01,42,20,123777
140,1,864573,399907,72121,69,46812,0,5.0,23293,2022,6,2022-06-01,104,0,1383482
141,2,2429,119003,120598,115110,684,4688,17732.25,11960,2022,6,2022-06-01,255,2247,362512
142,3,13332,331077,163238,43512,3345,92708,2461.0,40413,2022,6,2022-06-01,4988,10103,647212
143,4,36824,392680,107001,0,0,0,0.0,0,2022,6,2022-06-01,83,0,536505
144,5,2332909,46598,5932806,4632986,5056350,1282987,389618.0,313836,2022,6,2022-06-01,44218,66054,19284636
145,6,104293,107869,188903,143464,137458,59624,19439.25,25304,2022,6,2022-06-01,2057,2360,741611
146,7,139565,41421,1348857,35173,7229,1330481,9426.0,1096762,2022,6,2022-06-01,68943,126069,2902726
147,8,1106128,328162,4213161,3148632,1975285,1082470,293941.5,401547,2022,6,2022-06-01,40465,102472,11853838
148,9,1842206,340153,829039,535858,11712,95483,49053.0,29769,2022,6,2022-06-01,3931,16407,3654451
149,10,2629092,538712,115977,68554,0,0,5375.25,14791,2022,6,2022-06-01,196,0,3352335
